Abruzzo,547,17091,
Basilicata,134,4249,
Calabria,298,9119,
Campania,1944,99986,
Emilia-Romagna,2094,80684,
Friuli Venezia Giulia,346,16940,
Lazio,2953,75740,
Liguria,1363,40255,
Lombardia,7047,293957,
Marche,74,21090,
Molise,55,2726,
P.A. Bolzano,448,0,
P.A. Trento,338,11892,
Piemonte,4833,112054,
Puglia,1193,30442,
Sardegna,424,13794,
Sicilia,1391,36674,
Toscana,1653,71852,
Umbria,354,17036,
Valle d'Aosta,159,4755,
Veneto,1763,90901,
